KO	base_KO	name	symbol	n_isolates	perc_isolates	module	pathways	Actinomyces__(15)	Cutibacterium__(14)	Fusobacterium+Leptotrichia__(13)	Gemella__(5)	Granulicatella__(12)	Haemophilus__(11)	Micrococcus__(7)	Neisseria__(8)	Pauljensenia__(9)	Prevotella__(6)	Rothia__(4)	Staphy.+Nialla__(10)	Strep.I__(1)	Strep.II__(2)	Strep.III__(16)	Veillonella__(3)
K00012	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	UGDH, ugd	36	28.571	Glucuronate pathway (uronate pathway)	map00040 Pentose and glucuronate interconversions,map00053 Ascorbate and aldarate metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors,map01250 Biosynthesis of nucleotide sugars	1.118	1.118	0.719	-0.93	-0.465	-0.672	1.663	-0.398	-0.749	1.732	-0.93	-0.314	-1	-0.598	-0.93	1.856
K00013	K00013	histidinol dehydrogenase [EC:1.1.1.23]	hisD	55	43.651	Histidine biosynthesis, PRPP => histidine	map00340 Histidine metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids	0.825	0.825	-0.195	-1.227	-0.754	-0.508	1.345	1.345	-1.042	0.626	-1.227	0.432	-0.34	-1.615	1.466	1.519
K00014	K00014	shikimate dehydrogenase [EC:1.1.1.25]	aroE	117	92.857	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	map00400 Phenylalanine, tyrosine and tryptophan biosynthesis,map00999 Biosynthesis of various plant secondary metabolites,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids	-0.386	-0.386	-0.236	-3.65	-0.236	-0.032	0.11	0.11	0.044	0.169	0.221	0.044	0.627	0.575	0.221	0.269
K00891	K00014	shikimate kinase [EC:2.7.1.71]	aroK, aroL	117	92.857	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	map00400 Phenylalanine, tyrosine and tryptophan biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids	-0.386	-0.386	-0.236	-3.65	-0.236	-0.032	0.11	0.11	0.044	0.169	0.221	0.044	0.627	0.575	0.221	0.269
K03524	K00014	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]	birA	117	92.857		map00780 Biotin metabolism,map01100 Metabolic pathways	-0.386	-0.386	-0.236	-3.65	-0.236	-0.032	0.11	0.11	0.044	0.169	0.221	0.044	0.627	0.575	0.221	0.269
K00015	K00015	glyoxylate reductase [EC:1.1.1.26]	gyaR, GOR1	25	19.841		map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments	-0.108	1.334	-0.258	-0.719	-0.258	-0.463	1.499	-0.181	-0.54	-0.666	-0.719	1.398	-0.773	-1.081	-0.719	2.138
K00016	K00016	L-lactate dehydrogenase [EC:1.1.1.27]	LDH, ldh	105	83.333		map00010 Glycolysis / Gluconeogenesis,map00270 Cysteine and methionine metabolism,map00620 Pyruvate metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map04066 HIF-1 signaling pathway,map04922 Glucagon signaling pathway,map05230 Central carbon metabolism in cancer	0.016	0.016	-1.601	0.627	0.167	-1.847	0.515	-1.207	0.449	-2.123	0.627	0.449	1.039	0.986	0.627	0.675
K00018	K00018	glycerate dehydrogenase [EC:1.1.1.29]	hprA	33	26.19	Formaldehyde assimilation, serine pathway	map00260 Glycine, serine and threonine metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map00680 Methane metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	-0.263	-0.263	1.332	-0.877	-0.413	1.557	-0.764	1.311	-0.697	1.795	-0.877	-0.26	-1.298	-1.244	-0.877	1.922
K00020	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	HIBADH, mmsB	22	17.46		map00280 Valine, leucine and isoleucine degradation,map01100 Metabolic pathways	-0.04	-0.04	-0.191	2.168	1.574	0.076	2.005	-0.109	-0.473	-0.598	-0.651	-0.026	-1.064	-1.011	-0.651	-0.699
K00021	K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	HMGCR	69	54.762	C5 isoprenoid biosynthesis, mevalonate pathway	map00900 Terpenoid backbone biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map04152 AMPK signaling pathway,map04976 Bile secretion	-0.797	-0.797	-0.393	1.257	0.782	-1.163	-1.315	-0.903	-1.244	-1.378	-1.435	1.071	1.707	1.647	1.257	-1.488
K02246	K00021	competence protein ComGD	comGD	69	54.762		 	-0.797	-0.797	-0.393	1.257	0.782	-1.163	-1.315	-0.903	-1.244	-1.378	-1.435	1.071	1.707	1.647	1.257	-1.488
K00024	K00024	malate dehydrogenase [EC:1.1.1.37]	mdh	51	40.476	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00270 Cysteine and methionine metabolism,map00620 Pyruvate metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map00680 Methane metabolism,map00710 Carbon fixation in photosynthetic organisms,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	0.882	0.882	-0.697	-1.168	-0.697	1.252	1.406	1.406	1.334	1.47	1.528	0.905	-1.609	-1.551	-1.168	-1.218
K00027	K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	ME2, sfcA, maeA	78	61.905		map00620 Pyruvate metabolism,map01200 Carbon metabolism,map02020 Two-component system	0.501	0.501	0.653	0.356	0.653	0.861	-1.453	1.008	0.508	1.068	-1.577	0.939	-0.306	-0.649	-0.333	1.172
K00029	K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	E1.1.1.40, maeB	20	15.873	CAM (Crassulacean acid metabolism), light	map00620 Pyruvate metabolism,map00710 Carbon fixation in photosynthetic organisms,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map03320 PPAR signaling pathway	0.008	0.008	-0.142	-0.602	-0.142	1.878	-0.49	2.073	-0.424	2.161	-0.602	-0.424	-1.013	-0.961	-0.602	-0.649
K03269	K00029	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]	lpxH	20	15.873	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	map00540 Lipopolysaccharide biosynthesis,map01100 Metabolic pathways	0.008	0.008	-0.142	-0.602	-0.142	1.878	-0.49	2.073	-0.424	2.161	-0.602	-0.424	-1.013	-0.961	-0.602	-0.649
K03814	K00029	monofunctional glycosyltransferase [EC:2.4.1.129]	mtgA	20	15.873		map00550 Peptidoglycan biosynthesis,map01100 Metabolic pathways	0.008	0.008	-0.142	-0.602	-0.142	1.878	-0.49	2.073	-0.424	2.161	-0.602	-0.424	-1.013	-0.961	-0.602	-0.649
K04084	K00029	thioredoxin:protein disulfide reductase [EC:1.8.4.16]	dsbD, dipZ	20	15.873		 	0.008	0.008	-0.142	-0.602	-0.142	1.878	-0.49	2.073	-0.424	2.161	-0.602	-0.424	-1.013	-0.961	-0.602	-0.649
K05788	K00029	integration host factor subunit beta	ihfB, himD	20	15.873		 	0.008	0.008	-0.142	-0.602	-0.142	1.878	-0.49	2.073	-0.424	2.161	-0.602	-0.424	-1.013	-0.961	-0.602	-0.649
K05807	K00029	outer membrane protein assembly factor BamD	bamD	20	15.873		 	0.008	0.008	-0.142	-0.602	-0.142	1.878	-0.49	2.073	-0.424	2.161	-0.602	-0.424	-1.013	-0.961	-0.602	-0.649
K00030	K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	IDH3	2	1.587	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	0.991	0.991	1.785	0.386	0.842	0.638	0.496	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K03098	K00030	apolipoprotein D and lipocalin family protein	APOD	2	1.587		 	0.991	0.991	1.785	0.386	0.842	0.638	0.496	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K10822	K00030	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]	E7.4.2.2	2	1.587		 	0.991	0.991	1.785	0.386	0.842	0.638	0.496	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K00031	K00031	isocitrate dehydrogenase [EC:1.1.1.42]	IDH1, IDH2, icd	40	31.746	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00480 Glutathione metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids,map04146 Peroxisome,map05230 Central carbon metabolism in cancer	1.051	1.051	-0.531	-0.997	-0.531	-0.738	1.588	1.588	-0.816	-0.943	-0.997	1.513	-0.078	-1.014	1.717	-1.046
K00033	K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	PGD, gnd, gntZ	96	76.19	Pentose phosphate pathway (Pentose phosphate cycle)	map00030 Pentose phosphate pathway,map00480 Glutathione metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	0.208	0.208	-1.39	0.821	0.359	0.564	0.709	0.709	0.642	-1.863	0.821	0.642	1.24	1.186	-1.931	-1.995
K00036	K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	G6PD, zwf	95	75.397	Pentose phosphate pathway (Pentose phosphate cycle)	map00030 Pentose phosphate pathway,map00480 Glutathione metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map05230 Central carbon metabolism in cancer,map05415 Diabetic cardiomyopathy	0.226	0.226	-1.37	0.84	0.377	0.583	0.727	0.727	0.66	-1.839	0.84	0.66	1.26	0.846	-1.907	-1.97
K00040	K00040	fructuronate reductase [EC:1.1.1.57]	uxuB	8	6.349	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways	1.96	1.96	0.288	-0.169	0.288	0.084	-0.058	-0.058	0.978	0.355	-0.169	0.509	-0.574	-0.523	-0.169	-0.216
K00041	K00041	tagaturonate reductase [EC:1.1.1.58]	uxaB	2	1.587	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways	0.991	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	1.223	0.386	1.377	-0.016	0.034	0.386	0.339
K01051	K00041	pectinesterase [EC:3.1.1.11]	E3.1.1.11	2	1.587	Pectin degradation	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways,map02020 Two-component system	0.991	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	1.223	0.386	1.377	-0.016	0.034	0.386	0.339
K01235	K00041	alpha-glucuronidase [EC:3.2.1.139]	aguA	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	1.223	0.386	1.377	-0.016	0.034	0.386	0.339
K01811	K00041	alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	xylS, yicI	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	1.223	0.386	1.377	-0.016	0.034	0.386	0.339
K10297	K00041	F-box protein 11	FBXO11	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	1.223	0.386	1.377	-0.016	0.034	0.386	0.339
K10710	K00041	fructoselysine 6-kinase [EC:2.7.1.218]	frlD	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	1.223	0.386	1.377	-0.016	0.034	0.386	0.339
K15532	K00041	unsaturated rhamnogalacturonyl hydrolase [EC:3.2.1.172]	yteR, yesR	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	1.223	0.386	1.377	-0.016	0.034	0.386	0.339
K00042	K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	garR, glxR	15	11.905		map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways	0.15	0.15	0	2.513	1.795	0.281	-0.347	0.097	-0.281	-0.406	-0.458	0.18	-0.867	-0.815	-0.458	-0.506
K00043	K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	gbd	2	1.587		map00650 Butanoate metabolism,map01100 Metabolic pathways,map01200 Carbon metabolism	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K00453	K00043	tryptophan 2,3-dioxygenase [EC:1.13.11.11]	TDO2, kynA	2	1.587	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	map00380 Tryptophan metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K00822	K00043	beta-alanine--pyruvate transaminase [EC:2.6.1.18]	E2.6.1.18	2	1.587		map00280 Valine, leucine and isoleucine degradation,map00410 beta-Alanine metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K01295	K00043	glutamate carboxypeptidase [EC:3.4.17.11]	cpg	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K01556	K00043	kynureninase [EC:3.7.1.3]	KYNU, kynU	2	1.587	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	map00380 Tryptophan metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K01561	K00043	haloacetate dehalogenase [EC:3.8.1.3]	dehH	2	1.587		map00361 Chlorocyclohexane and chlorobenzene degradation,map00625 Chloroalkane and chloroalkene degradation,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K04127	K00043	isopenicillin-N epimerase [EC:5.1.1.17]	cefD	2	1.587	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	map00311 Penicillin and cephalosporin biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K05782	K00043	benzoate membrane transport protein	benE	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K05834	K00043	homoserine/homoserine lactone efflux protein	rhtB	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K06995	K00043	uncharacterized protein	K06995	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K10234	K00043	alpha-glucoside transport system permease protein	aglG, ggtD	2	1.587		map02010 ABC transporters	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K11325	K00043	L-cysteine/cystine lyase	K11325	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K11472	K00043	glycolate oxidase FAD binding subunit	glcE	2	1.587		map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K13021	K00043	MFS transporter, ACS family, tartrate transporter	ttuB	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K19338	K00043	LysR family transcriptional regulator, nitrogen assimilation regulatory protein	nac	2	1.587		 	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K21007	K00043	polysaccharide biosynthesis protein PelB	pelB	2	1.587		map02025 Biofilm formation - Pseudomonas aeruginosa	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K21174	K00043	enediyne biosynthesis protein CalE9	calE9	2	1.587	10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core	map01059 Biosynthesis of enediyne antibiotics,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	0.991	0.991	0.842	0.386	0.842	0.638	1.294	1.294	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K00045	K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	E1.1.1.67, mtlK	2	1.587		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways	3.095	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K00752	K00045	hyaluronan synthase [EC:2.4.1.212]	hasA	2	1.587		 	3.095	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K03815	K00045			2	1.587			3.095	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K07057	K00045	N4-bis(aminopropyl)spermidine synthase [EC:2.5.1.128]	bpsA	2	1.587		 	3.095	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K13057	K00045	trehalose synthase [EC:2.4.1.245]	treT	2	1.587		map00500 Starch and sucrose metabolism,map01100 Metabolic pathways	3.095	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K14666	K00045	N-acetylglucosaminyltransferase [EC:2.4.1.-]	nodC	2	1.587	Nodulation	 	3.095	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K16556	K00045	succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]	exoM	2	1.587		 	3.095	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K16703	K00045	colanic acid/amylovoran biosynthesis glycosyltransferase WcaL/AmsK [EC:2.4.-.-]	wcaL, amsK	2	1.587		 	3.095	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K19615	K00045	insecticidal toxin	fitD, mcf	2	1.587		map02020 Two-component system	3.095	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K20263	K00045	two-component system, NarL family, sensor histidine kinase FusK [EC:2.7.13.3]	fusK	2	1.587		map02020 Two-component system,map02024 Quorum sensing	3.095	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K20832	K00045	galactan endo-beta-1,3-galactanase [EC:3.2.1.181]	EN3GAL	2	1.587		 	3.095	0.991	0.842	0.386	0.842	0.638	0.496	0.496	0.562	0.438	0.386	0.562	-0.016	0.034	0.386	0.339
K00048	K00048	lactaldehyde reductase [EC:1.1.1.77]	fucO	17	13.492		map00630 Glyoxylate and dicarboxylate metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	0.829	0.089	1.723	-0.52	-0.061	1.059	-0.408	-0.408	-0.342	-0.467	-0.52	-0.342	-0.93	-0.877	-0.52	2.487
K00052	K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	leuB, IMDH	105	83.333	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	map00290 Valine, leucine and isoleucine biosynthesis,map00660 C5-Branched dibasic acid metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	0.016	0.016	0.167	-2.205	-1.601	0.372	0.515	0.515	0.449	-1.716	0.627	0.449	1.039	0.264	0.627	0.675
K01649	K00052	2-isopropylmalate synthase [EC:2.3.3.13]	leuA, IMS	105	83.333	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	map00290 Valine, leucine and isoleucine biosynthesis,map00620 Pyruvate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	0.016	0.016	0.167	-2.205	-1.601	0.372	0.515	0.515	0.449	-1.716	0.627	0.449	1.039	0.264	0.627	0.675
K01703	K00052	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	leuC, IPMI-L	105	83.333	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	map00290 Valine, leucine and isoleucine biosynthesis,map00660 C5-Branched dibasic acid metabolism,map00966 Glucosinolate biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	0.016	0.016	0.167	-2.205	-1.601	0.372	0.515	0.515	0.449	-1.716	0.627	0.449	1.039	0.264	0.627	0.675
