COMP_ID,A_d0,A_d0,A_d0,A_d0,A_d2,A_d2,A_d2,A_d2,A_d3,A_d3,A_d3,A_d3,A_d7,A_d7,A_d7,A_d7,A_d14,A_d14,A_d14,A_d14,A_d21,A_d21,A_d21,A_d21,A_d28,A_d28,A_d28,A_d28,B_Ctrl_0h,B_Ctrl_0h,B_Ctrl_0h,B_Ctrl_0h,B_Ctrl_12h,B_Ctrl_12h,B_Ctrl_12h,B_Ctrl_12h,B_Ctrl_24h,B_Ctrl_24h,B_Ctrl_24h,B_Ctrl_24h,B_Stim_0h,B_Stim_0h,B_Stim_0h,B_Stim_0h,B_Stim_12h,B_Stim_12h,B_Stim_12h,B_Stim_12h,B_Stim_24h,B_Stim_24h,B_Stim_24h,B_Stim_24h,C_Ctrl_0h,C_Ctrl_0h,C_Ctrl_0h,C_Ctrl_0h,C_Ctrl_12h,C_Ctrl_12h,C_Ctrl_12h,C_Ctrl_12h,C_Ctrl_24h,C_Ctrl_24h,C_Ctrl_24h,C_Ctrl_24h,C_Stim_0h,C_Stim_0h,C_Stim_0h,C_Stim_0h,C_Stim_12h,C_Stim_12h,C_Stim_12h,C_Stim_12h,C_Stim_24h,C_Stim_24h,C_Stim_24h,C_Stim_24h
1549,67356,83332,80196,53940,1061764,1209296,1501067,1119905,1356828,1849629,1558699,1770484,2298402,2680090,2584101,2226947,2949304,3279003,3433979,3276634,2849477,4763002,3370498,4110410,2095530,2765472,2569741,2603274,46093,58819,72394,,1365897,1524722,1209296,1298688,1813260,2546432,2460041,2725806,,73140,64443,40084,1435829,1726378,1388489,1666691,2295107,3412302,2796425,3024487,78396,66735,89097,49209,153359,107093,142408,116280,202133,164649,226499,143994,52670,57468,90052,69261,167590,102337,121737,72797,212081,209129,289392,186601
21047,3921,4938,8074,7098,93091,94178,83845,92895,60374,78673,73246,82954,69395,69450,66982,82927,61243,57859,55391,52913,43281,47376,50174,53471,51743,56470,53192,50804,,,,,40274,40483,48456,47526,54644,53192,56558,63595,,,,,49321,47251,49609,57976,53192,48327,43144,63812,,,,3389,29473,31315,30946,44692,57977,65016,68618,51638,,,,,36590,29685,32727,48859,62737,54087,60086,59354
15676,21321,19728,23233,24733,229670,227058,218570,265051,145479,195752,213217,220706,181044,179381,185114,232218,144247,153872,141296,142517,101272,98503,117345,128857,126620,142517,140062,133112,,,,,129092,136384,151036,158266,142517,143231,152574,187767,,,,,159117,151858,152585,188038,142642,123921,143738,177826,,,,,4820,7445,7708,7643,,,,5970,,,,,5976,7461,5494,6822,,,3936,3319
15681,27486,47821,36331,30920,42069,45531,35647,41892,60493,34063,24625,35431,40963,51781,45439,46759,51850,68291,73494,52944,46625,64248,59081,61413,58544,60311,52944,61637,22275,24479,39993,32725,52309,61358,41692,47406,56939,48179,55427,52909,26337,34025,20942,42658,52944,42907,38581,66192,57938,62235,54776,48805,54692,52281,75086,64403,59339,80782,72636,61844,72380,77896,85540,69556,45145,87485,88862,80792,61898,68923,58666,66885,67327,52944,50112,92627
1669,,,,12412,22741,24575,17386,19012,20511,16262,17014,26126,56487,33272,24740,23516,23615,30539,27899,20507,35608,33995,39033,37328,21895,18354,27377,14994,,,,,,7695,19091,20269,19309,18181,14427,22758,10640,,,,22775,20942,20777,33945,48004,41212,43307,72561,,,,,,,,,,,,,,,,,,,,,,,,
22116,46293,44938,41471,45972,515819,519136,452958,493144,321857,402058,405846,420277,403384,387677,363518,425765,309786,303847,268455,251133,191459,191139,206146,194619,261854,275691,252485,226826,5832,7067,,10332,281338,283092,308880,291430,293470,282744,269583,315877,6303,,,5951,343854,317014,294859,348816,260703,228274,252710,293470,13111,17967,16261,14135,324172,310465,293470,357981,468045,482015,451203,381880,15400,17867,18604,16881,334882,323657,299042,376113,443794,429521,435998,378930
1419,18772,23437,20789,14007,362902,432294,423229,294563,221328,251678,297567,203630,182464,187159,229640,161102,96915,128865,99715,57785,54840,51624,52019,34142,88687,102996,103143,65051,,,,,63656,61503,72009,27869,70567,92636,115213,65466,,,,,130566,176269,191003,114664,221013,241477,262040,200304,,20951,,,244952,139557,122027,164284,335903,426946,454835,156515,13614,,21190,,257981,173473,220297,217984,401344,676099,589548,333997
1494,2018519,2087406,1976176,1966678,2254993,2361926,2257619,2205919,2011823,2350067,2385905,2269399,2386518,2362121,2275685,2180522,2514439,2466020,2450911,2308139,2511021,2466725,2466725,2512353,2383592,2502152,2483875,2289387,2128320,2170408,2177041,2178093,2466725,2414011,2445714,2341566,2436781,2549189,2531411,2541423,2151284,2264097,2163181,2150815,2468547,2465547,2360037,2466725,2452657,2520834,2516109,2563126,3777157,3918043,3965494,3898516,3955771,4182173,3964211,3906284,4079498,4376318,4280000,4025777,3794768,3918422,3903096,3857308,4067874,4281365,3944506,3921733,3960521,4481717,4217157,4198353
33963,9212,,30530,27271,156950,155696,297626,138650,148098,228404,230053,222478,190445,118562,116720,126756,44445,186404,122368,121375,160916,133550,62830,147515,80955,637932,183457,123700,,7389,,,500911,545704,166360,351534,540342,375850,179390,358068,,10643,28298,6980,490287,679493,232185,331599,427393,693338,116239,214471,29525,13363,14387,,205601,150395,259061,172875,319311,294201,530993,193784,,21961,40766,17048,104529,159346,313671,197424,184834,259313,461858,199235
32198,7482,,19336,,21102,20560,25546,19302,26877,25097,20916,25297,28108,39081,25049,27075,36643,39177,46862,27916,62988,41889,50616,31490,50165,44460,45310,28827,,,,,,12172,21012,15972,23718,25497,,,,,,,,15676,,21332,,8949,,,,,,,,,,,14928,,,,,,,,,,,5451,11636,,,
554,3793394,3886176,3793394,3793394,2228896,2346502,2316626,2905386,1031689,1560584,1744716,2263764,1049159,909190,1200657,1249525,858090,1009597,771604,1214019,469410,503342,510067,577848,915487,1572394,1374680,1254410,5217003,4298348,4312234,6021597,4646121,3793394,4173723,3832755,2495165,3161326,3492361,2998054,4782181,3952722,4427770,6179821,2673196,3300937,3411357,3232803,1729765,2136457,2525759,2995896,9429509,7673160,8560987,15951820,9310639,8076493,8219309,15963547,11805092,7434150,9670139,16255963,12325602,8627761,8934121,14977213,10126351,7909994,8358352,16253669,7668320,7734679,9314807,15849527
1126,7500537,9435827,8566947,8338795,23689248,29128550,26828484,25742844,28680746,36614244,41294608,34443760,12336964,13892878,13507007,12389754,9910670,12496966,10626682,8261223,9931482,15640148,13658360,13630439,11360005,11748857,15029717,11617187,6355819,10514942,5882124,5023294,18895656,19623238,11671349,13609441,22658896,21158904,30163090,21227404,7773703,11945963,4021721,5458935,14258601,20961832,14765202,15918383,21158904,22250584,21158904,21158904,25475104,23228252,35718664,26031334,51965596,47315724,53395072,43870832,74232776,58585612,88120632,68959448,25836928,24785744,35107392,28502950,48864808,44677920,54936136,44018004,81500024,69651248,96078264,78265744
22132,,,,,10654,11702,7640,7817,10299,13421,11534,15104,13450,12717,11635,14172,13451,11269,8106,12773,7969,8558,9346,9225,7640,6722,5690,7640,,,,,,,,,5943,,,3863,,,,,2990,5180,2177,5580,6069,5502,5597,6661,,,,,,,,,3573,2579,,1854,,,,,,,,,3121,2762,2734,3953
33937,,46054,81927,,465159,696844,1088951,607668,707532,1183677,1437469,845646,907778,1297324,1654277,784904,589345,836431,1337115,661954,565534,895362,1062155,812159,280961,730680,584613,322650,,,,,85336,124652,,111842,,169695,309038,135435,,,,,144721,146664,241948,108615,183310,233473,345704,250462,,,,,,,,,,,137629,,,,,,,,,,,81831,162268,
33453,,,,,,,,12355,,16960,23817,17854,16960,,16315,24478,,,,10911,10838,,30079,54699,,13680,28138,20365,,,,,17866,24693,18410,16065,7213,,16960,36964,,,,,,48936,13936,47222,25731,,30531,40534,,,,1247,,,,6415,,,14939,9053,,12969,,,,,6952,3222,,,9076,
15305,7505,5078,4863,5376,,,,,,,,,,,,,,,,,,,,,,,,,5514,6783,6480,7716,,,,,,,,,4734,9016,5972,6573,,,,,,,,,11714,15105,12718,12432,12650,11681,11946,9017,10293,10293,10293,10293,10792,12789,11228,13444,12651,13127,11163,10517,6558,10022,9102,10382
4970,20852,15809,,22933,96375,49547,49832,43511,111878,93237,106536,144598,102855,111372,87876,94912,56316,80346,49291,72845,63922,68919,63992,73722,39065,37033,40562,46774,,,,,49709,28652,25291,34271,91263,58925,63922,63922,,15767,,,140283,130993,70391,149106,324649,178501,215257,264417,35102,,10461,,,,,,,,,39630,41403,,,27758,,,,,,,,
1638,782605,782605,777960,754017,751102,739013,726330,728902,698023,697550,761608,776270,748097,699605,729591,726187,724047,732995,732835,726190,752200,716268,728240,731590,769901,727766,749048,742725,767381,785376,808957,782605,798642,787679,782605,831457,817588,806065,821304,833993,777282,779382,803978,767638,812603,746231,775490,806959,775961,742350,739527,733689,1144554,1133731,1165779,1112077,1162672,1178763,1188380,1134568,1173011,1098984,1127741,1169917,1175725,1106628,1106048,1113913,1191082,1164861,1140485,1175538,1149132,1108875,1134159,1143527
512,29371,17782,27524,16908,12555,8691,12626,9733,12562,6723,9253,11460,11649,15517,9304,8169,13245,13245,12424,13245,16001,9200,13863,15003,13447,15789,14877,13922,28084,22339,27255,21490,22752,17743,22644,20954,22712,21505,32384,20133,24634,22799,24018,25573,30804,15140,21764,15839,23040,19926,18790,18323,11937,6783,11104,8503,8555,9146,3994,9036,6727,3846,5183,5493,11044,10451,8591,9061,10205,8516,3201,3982,1647,3862,,3583
443,9016,8932,12944,,,,,,,,,,,,,,,,,,,,,,,,,,8344,9441,10308,7240,,,,,,,,,11139,8951,11303,8246,,,,,,,,,,13425,17284,14231,27423,34432,36661,30606,49320,39279,53364,28270,15163,20682,20682,14000,26202,25644,37421,30395,47697,39835,41460,27134
12129,342319,292390,411630,273446,3473388,3772396,5354955,3474911,4139659,5555950,5613818,5053859,5421259,5696549,6676085,4628015,4409877,4573459,5780361,4833939,2931395,3896160,3699663,3645666,1923469,2635133,2530334,2054687,,148993,230643,,1632416,1931496,1551968,1410943,1983367,2441049,3241429,2574481,,153558,184436,,1931496,2004344,2239549,1808304,2604205,3305953,3883802,2839791,,147049,153499,,470664,593085,690772,526164,1208830,1033482,1419491,793317,,139202,235276,137982,399868,573913,682897,597279,1167388,1280307,1931496,1025965
15686,116419,164792,153644,205704,,67624,,81998,,145352,,76046,,108777,,85193,,88438,,143764,128473,119382,147605,131904,,167202,111080,129370,136882,196300,141014,142416,114431,143872,115932,166368,,128473,,127577,164820,202460,148120,185045,118851,173289,161988,164806,131722,154991,111783,106693,,,65498,73658,,43929,,60293,,,,,,91973,67689,73121,,44956,,,,40497,,
1642,19632,31537,24947,19632,23284,20680,19839,38618,22463,26196,32093,18918,20528,23270,20168,20076,16905,17848,15157,20248,17739,19632,15743,23651,19056,13139,19866,17134,16118,20063,17191,19722,33593,35814,31993,27178,37826,33568,38524,32798,14320,17213,14643,13285,18148,21208,15822,19130,18025,16650,21291,16666,15287,17164,17302,17329,25939,18276,18356,21903,20487,25965,22328,24947,23374,18911,19632,16748,17928,19040,17958,17827,22106,17867,17910,19632
32489,3926,6903,6900,4625,7559,10951,9007,7390,8805,8773,8291,10721,7045,9502,6948,6891,10214,7187,7950,7271,7607,5576,5594,4558,5241,5028,7303,4950,6741,,6627,6727,6193,6717,,3792,5437,9617,5252,6509,5101,6413,4782,8570,8173,6173,7142,8750,10096,10632,4142,7405,4753,4271,,7045,5098,7624,5819,7634,9832,10317,9239,7874,6566,5821,,3412,10382,5557,7441,7140,8528,12498,8884,6049
32492,7118,8698,12029,7971,14536,11052,14844,11879,10469,15282,15489,13156,10302,9355,15390,8698,11761,8362,8428,9219,5439,6683,7640,6204,6131,9406,7712,7585,8691,8607,8968,8140,10691,12022,14441,8109,9840,10841,13984,7705,4780,5075,7975,9850,10015,8181,11055,13486,8698,8815,7863,7138,4687,8172,,8856,8122,8320,5007,9152,8754,14118,11235,8919,4297,7349,6110,5317,7471,8497,8241,7061,9660,16335,8254,8785
15506,943177,1075432,1014241,966147,1079049,1110265,1077012,1001064,893275,1027435,1047920,1084056,936191,989538,856021,933525,1036686,917191,1031242,897217,846281,938222,948193,806960,1268235,1023229,1040870,1137986,748252,1153675,1110265,879202,997282,1059340,1292899,1068176,1239947,1125885,1206651,1270493,778876,1047096,1082902,1110265,1110265,1122122,1028587,1164148,1244215,1091310,1186046,902537,1498289,1655995,1791516,1488812,1386937,1780892,1584937,1310943,1481623,1679196,1816084,1702385,1456085,1500773,1717879,1591971,1429367,1705894,1684264,1480035,1799074,1856367,1720573,1597348
12025,,2359,,,44546,45195,44141,41740,48451,51956,72789,54984,73948,73438,62223,59919,85946,86739,92291,61246,105908,86607,91986,86990,77921,75581,57553,52073,,,,,31525,24057,30941,29225,40453,42500,42747,43259,,,,,33228,33125,25701,37047,46217,43132,42252,47472,,,,,4523,4677,7810,6991,12160,11528,18404,5581,,,,,7337,5390,6335,7718,16316,15819,10404,7332
1564,33634,84697,110298,73176,1110908,1348109,2058880,970646,1214264,1479540,2068951,1966399,1843434,1838189,2556003,2393227,4391019,3447545,5733436,3427654,4700799,2748060,3878100,3868220,2412434,3436553,2176942,2088757,,17591,85681,62664,1119039,1024018,941658,1073340,941658,1100542,1883863,1564843,33735,25425,85253,31952,663270,859299,1133656,941658,1086603,1290022,1567033,1392378,,11962,68817,37309,93962,95043,192820,118121,214694,196601,362068,158785,11008,,117460,18232,83893,84374,159168,117076,257869,130857,387052,179170
2184,28035,25071,27277,26222,27242,27090,30814,26383,32520,31512,22902,19853,23523,22203,21050,32412,26590,25582,29742,29012,21997,27547,29012,23853,29509,29012,28398,23075,23904,23067,23858,17313,22378,31123,31370,25461,28138,26476,25381,42177,,29245,28543,26700,30027,20667,28122,32482,28514,22832,27951,18543,86351,50624,72366,69301,59767,39974,67374,105519,94241,67685,54416,83015,81581,59288,59978,77898,85451,64445,67395,75157,95857,53525,67070,113164
1712,547491,554035,589548,579422,461438,498823,472221,502042,376662,453581,456222,415790,302167,302167,302167,267812,205127,256503,235432,225899,210965,265889,203968,216377,277796,278750,298844,302167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,,12913,10671,,35849,28306,29334,26403,24037,36786,38718,28388,49112,55233,55233,52915,61354,69008,71441,65160,73405,75359,67981,62511,61612,71874,67598,57551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27718,120889,125217,160416,141233,81595,82823,106076,110356,99633,86311,128824,94203,132900,140353,122251,134614,167222,168105,246145,175666,275448,191684,235588,210348,222343,252861,262582,222344,,,43273,20431,150834,148655,153126,131197,123613,166418,201717,168551,,45705,25100,,138264,133056,163446,122251,145528,119286,163107,131859,,,18202,11258,24188,22230,23329,25992,13173,10889,11670,43201,27595,,52385,,24459,23483,43253,30897,19080,8818,23359,34294
31453,333153,404747,397056,409581,843602,1173377,1283659,1038905,985108,1773939,1274342,1333913,1016937,435016,1013694,859063,1151771,1277525,1260770,1112734,1195300,1642704,979857,1258230,1036843,42808,854135,773310,337922,475618,300416,267822,762948,915304,493369,576640,915304,616735,1004518,915304,341670,435154,390795,299344,875043,1059927,653126,884670,866743,1223042,911295,1187569,482648,547888,704547,627843,1155388,1037478,953867,1076041,1584428,1218363,1405856,1289069,536845,208862,548008,609143,982677,771700,915304,1007656,1504188,973036,1136622,1411208
35159,30261,25589,30561,24059,387257,396311,396694,301719,369742,332327,509788,373289,401869,498153,393547,299582,703050,663079,884894,536133,958312,673828,684485,635199,541072,845047,446198,414404,,,,,508510,432496,316918,332490,346824,501313,414404,483350,,5258,,,430148,345743,310877,317116,346633,450043,506741,535859,40905,37504,43723,30485,520135,383899,448132,494841,595007,698298,714155,428702,50954,30363,38321,21625,414404,393400,331882,489544,576266,596650,577866,414426
36808,,,,,120862,124656,107745,75494,205583,115829,129782,129782,123072,134909,136937,148676,136493,160167,140343,147351,204358,143984,110460,168348,239463,119209,181120,223931,,,,,74662,,,278785,235707,137627,,304915,,,,,275541,,,170897,271850,175414,142083,121299,,,,,18503,,,28583,61119,23926,12011,69653,,,,54059,58192,,,19246,49628,28539,20862,71543
20699,,37208,,26634,103892,129270,162413,130659,206162,222700,183003,209820,332765,326897,252928,219167,338145,327507,320799,298596,290322,375910,371039,318610,244006,309549,208940,181604,,,,47968,58136,84882,84079,44886,74286,103892,79504,108598,28512,,,,144280,58219,82330,99185,76163,144676,123704,130502,,22575,,17731,,39501,32832,15558,71542,49857,52702,,,27199,,,,58015,18104,37723,56311,121882,38754,28381
33477,60733,37069,38693,34461,156001,140047,129963,170331,157524,189017,182420,177385,174298,185828,182099,200847,236199,189526,173616,272656,244027,242389,163418,283228,289936,155142,138142,210859,9689,29217,,21917,86985,86985,57448,86863,90119,120721,105580,142648,16165,31771,31337,33222,116441,96265,101454,86985,145673,145932,115574,149335,33814,23089,33192,45145,46199,35760,37282,46613,62622,61275,44807,50631,11371,42386,32277,36408,52316,58221,31500,60229,81606,71101,72516,100323
1826,327265,347719,362231,344533,351996,377888,368287,371156,310821,324412,393589,384419,387345,344533,339770,342971,341610,369327,391252,364199,371760,317302,367137,374465,344533,356122,378584,327622,349124,347691,335891,342867,376065,364764,377536,375611,350671,385821,364956,370062,354752,344963,334638,348279,366687,369731,344533,357555,358844,343764,369993,361903,96509,90598,100442,111172,138933,107770,99555,104957,97492,101151,101431,95076,101286,100093,117512,86785,95363,93004,90177,100021,93252,97929,102203,116396
577,2806750,1938261,2885837,1532011,1412487,978382,943243,1030078,1009798,1194451,985866,1660712,1532011,1545224,1308646,1628520,3007403,1962802,1787083,3191628,2341413,2162387,1745818,2566192,3039957,1702350,1532011,2714328,706304,2804045,2367236,3668761,1626015,1723128,2489436,1852102,1776861,2552057,2101543,2660822,1596031,2071848,2050342,1403822,1926852,1513047,1930291,1492555,2509757,1532011,1544708,3013180,357455,309392,243414,386739,470893,352519,333113,335228,370746,434362,390731,629208,497525,291708,278427,296733,386221,396322,350453,516442,477986,497790,371091,537033
2730,38822,11545,28217,18245,737948,500491,500491,500491,706920,597691,700640,785038,1097612,738042,814882,599684,1046868,665065,1037949,888469,1318910,779504,958468,952214,785640,583493,752217,540172,,,,,459748,332361,387264,307626,541234,537215,620436,562559,,,,,361899,299989,327645,317468,710403,530860,829288,754771,4254,,,,70575,32525,45818,61506,115344,90606,126223,68240,,,,,53522,43099,53265,67708,159195,101253,127123,85548
18369,,,,,59583,58498,29757,37716,32999,36059,46165,67549,41825,50655,29300,30604,31980,38873,42899,35922,30684,31332,50646,36148,29321,21729,31877,23205,,,,,,,,22851,28491,22794,31332,31332,,,,,,25360,28790,,23891,19102,19170,23735,,,,,,,,,,,,,,,,,,,,,,,,
33422,,,,27716,42498,33174,24536,23467,30285,19643,40741,48094,55457,36997,22539,41719,,17789,67368,17328,54407,47820,39698,34516,26345,,37009,39407,,,,22164,27353,,,,44041,30963,34087,,,,,,20770,17416,29275,,33853,35386,29674,32069,,,41912,,,,,,13855,,,,,,30050,,,,,,,,28501,
20488,396966400,379153760,461835776,400588704,200069456,253251904,286435936,275144288,233002384,293858368,252406208,258617360,252419296,227665600,293858368,261292800,303061280,277919104,347230592,297896576,293858368,295060192,285471136,294367424,298309408,326056704,303247328,293858368,456551264,408958720,452480704,382505312,455003232,415924544,404358912,404244448,364355872,343767968,432772640,386989216,453137312,409658240,459051872,406801472,382757056,433201312,433891520,400684992,323744928,375389280,376864128,347804800,176327152,211225888,222053984,226474768,159205232,206038624,171357232,145857664,62177720,99896360,55681680,115984424,187693872,210140736,219782816,227825952,124545488,174638704,156134416,111613480,33449206,87742600,43387504,85401632
57,1111820,1248116,1454872,1494102,1639217,1527217,3281939,2931433,1567618,2148700,2762557,2067486,628904,280169,1134999,971800,140549,240334,322746,433564,293519,818449,328816,292440,308566,70870,977465,645937,1248116,1492255,1065431,1100151,803196,781378,554630,641057,658373,304499,733405,452579,1527738,1674467,1248116,1248116,691025,1183519,560354,738556,458199,304640,606011,437986,6873678,3565067,14156069,11291741,23401954,11827289,29786576,37433384,55374848,9842095,73963416,36819276,11305156,1080066,15134971,11918869,25332094,11900046,27511142,33554036,44927336,9031195,60964272,45946860
53,3719173,4293852,4235312,4202121,4162889,4617908,4478817,4379831,4065509,4744554,4752001,4663140,4693279,5219099,5065763,4992356,5529305,5696047,5576961,5269065,5011705,5529305,5529305,5082496,5457230,5406438,5478736,5549987,3592818,4736417,4394426,3967872,5057519,5670835,5519602,5647096,5570468,6090915,5890060,6849806,3740235,4429946,4125415,4097066,5543884,5274985,4917245,5529305,5646189,5463883,5565347,5296240,8095292,9127926,9197832,9256210,7544550,8343305,8027673,7701663,6653878,7517772,7422774,8257143,8962800,9084491,8986632,9390456,7686613,8583105,8338337,8485773,7311086,7622610,7068164,7243171
27727,,,6365,,9577,15400,8036,5221,12024,,20303,7461,10360,13888,,,35335,16535,77041,16380,63212,,32714,30753,26451,31731,16535,11621,,,,,10877,,,,11280,,,16616,,,,,7671,,,5632,8675,,14022,16455,,,,,22022,4451,14736,24142,91972,88893,153576,18042,,,7606,,21047,,,17235,105294,32373,80341,23137
1572,478785,394554,412555,416586,498349,432965,474152,396762,371298,405174,403396,436478,502689,426124,382947,418280,345189,352872,426548,476539,423721,369127,398191,323338,399935,383578,340516,370007,327643,435759,423721,331183,334890,355484,320708,315541,365768,318785,337009,423721,356965,423721,451742,405455,405358,373739,392584,410765,316563,361897,381519,478969,825705,652567,925736,853133,884474,723763,813741,732549,833039,660765,852992,790880,791065,599309,985265,796159,688271,754147,991025,735343,848765,724791,880298,891196
15122,3006566,994704,2069920,1026408,4780458,3528963,7944377,3453724,4918267,4637867,6774540,4762918,4078554,2448787,9483743,6235492,5537708,2161874,9018043,5354980,5241223,2577945,4902631,3186460,3725619,2456271,3272983,3409158,1484225,570203,859773,397080,1741947,557236,1594428,1720031,1507175,439811,1482472,1304779,1716983,293668,1265127,1120737,1589299,726659,2059325,4156155,2456271,1073994,2507647,1651511,1584711,3743454,1030134,1240370,1350505,4207468,1943736,720547,5575471,4374058,2599449,2456271,1551198,3556581,1335917,3277290,923132,4133968,2456271,2664152,4077446,4731508,2908362,1250379
15365,,16521,21093,,21685,47323,45121,57795,52864,58139,97024,42125,46627,82441,68846,82143,84759,70640,96323,136094,67461,147358,106103,113417,39177,91794,61257,116469,,,9639,33190,,45706,16878,42084,,44740,21284,63792,9747,16946,,17988,7749,39855,41406,,42818,22654,32731,27785,,13429,30981,,20083,18438,,21677,62666,55881,49949,,,9042,33985,,,27068,42298,39439,41777,33989,43025,42470
11777,1730663,2472336,2111953,3567500,12083057,13318623,19044294,17389818,21917242,39705252,19428992,22971244,15311906,5216048,12744228,12342974,9150256,6604786,11179114,9643166,10236633,11792493,8896818,12121710,5630777,3451446,7784891,5844795,2577959,2731330,1745212,1786636,6575734,7397061,2725230,4274032,7288432,3808645,5702956,7172388,3077853,2788407,1628314,2462322,6391573,9736959,4915612,6850344,5909053,9770946,6850344,6594784,5179671,4539954,5455972,5924934,8060362,8777581,6844758,5606494,8093501,6850344,10945316,8045756,4683986,4980880,6609177,6903038,6850344,7525895,7554423,5261260,11311354,7802195,10154189,10169932
